,birthdate,college_listed,us_born,lesbian_or_bi,trans
Emilie de Ravin,1981-12-27,0.0,0.0,0.0,0.0
Emily DiDonato,1991-02-24,0.0,1.0,0.0,0.0
Emily Ratajkowski,1991-06-07,0.0,0.0,0.0,0.0
Emily VanCamp,1986-05-12,0.0,0.0,0.0,0.0
Emma Heming,1978-06-18,0.0,0.0,0.0,0.0
Emma Roberts,1991-02-10,0.0,1.0,0.0,0.0
Emma Stone,1988-11-06,0.0,1.0,0.0,0.0
Emma Watson,1990-04-15,1.0,0.0,0.0,0.0
Emmanuelle Chriqui,1975-12-10,0.0,0.0,0.0,0.0
Emmanuelle Vaugier,1976-06-23,0.0,0.0,0.0,0.0
Emmy Rossum,1986-09-12,0.0,1.0,0.0,0.0
Erica Leerhsen,1976-02-14,0.0,1.0,0.0,0.0
Erika Christensen,1982-08-19,0.0,1.0,0.0,0.0
Erin Andrews,1978-05-04,0.0,1.0,0.0,0.0
Erin Heatherton,1989-03-04,0.0,1.0,0.0,0.0
Estella Warren,1978-12-23,0.0,0.0,0.0,0.0
Eva Amurri,1985-03-15,1.0,1.0,0.0,0.0
Eva Green,1980-07-06,1.0,0.0,0.0,0.0
Eva Longoria,1975-03-15,1.0,1.0,0.0,0.0
Eva Marie,1984-09-19,0.0,,0.0,0.0
Eva Mendes,1974-03-05,0.0,1.0,0.0,0.0
Evan Rachel Wood,1987-09-07,0.0,1.0,1.0,0.0
Evangeline Lilly,1979-08-03,1.0,0.0,0.0,0.0
FKA Twigs,1988-01-16,0.0,,0.0,0.0
Felicity Jones,1983-10-17,1.0,0.0,0.0,0.0
Freida Pinto,1984-10-18,1.0,0.0,0.0,0.0
Gabrielle Union,1972-10-29,1.0,1.0,0.0,0.0
Gal Gadot,1985-04-30,0.0,0.0,0.0,0.0
Garcelle Beauvais,1966-11-26,0.0,0.0,0.0,0.0
Georgia May Jagger,1992-01-12,0.0,0.0,0.0,0.0
Georgianna Robertson,1972-03-23,0.0,0.0,0.0,0.0
Georgina Grenville,1975-10-01,0.0,0.0,0.0,0.0
Gigi Hadid,1995-04-23,1.0,1.0,0.0,0.0
Gina Carano,1982-04-16,0.0,,0.0,0.0
Gina Gershon,1962-06-10,1.0,1.0,0.0,0.0
Gisele Bündchen,1980-07-20,0.0,0.0,0.0,0.0
Gugu Mbatha-Raw,1983-04-21,1.0,0.0,0.0,0.0
Gwen Stefani,1969-10-03,1.0,1.0,0.0,0.0
Hailey Baldwin,1996-11-22,0.0,1.0,0.0,0.0
Hailey Clauson,1995-03-07,0.0,1.0,0.0,0.0
Halle Berry,1966-08-14,1.0,1.0,0.0,0.0
Hayden Panettiere,1989-08-21,0.0,1.0,0.0,0.0
Hayley Williams,1988-12-27,0.0,,0.0,0.0
Haylie Duff,1985-02-19,0.0,1.0,0.0,0.0
Heather Graham,1970-01-29,0.0,1.0,0.0,0.0
Heidi Klum,1973-06-01,0.0,0.0,0.0,0.0
Heidi Montag,1986-09-15,1.0,1.0,0.0,0.0
Helena Mattsson,1984-03-30,0.0,0.0,0.0,0.0
Hilarie Burton,1982-07-01,0.0,1.0,0.0,0.0
Hilary Duff,1987-09-28,0.0,1.0,0.0,0.0
Hilary Rhoda,1987-04-06,0.0,1.0,0.0,0.0
Hilary Swank,1974-07-30,0.0,1.0,0.0,0.0
Hoda Kotb,1964-08-09,1.0,1.0,0.0,0.0
Hope Dworaczyk,1984-11-21,0.0,,0.0,0.0
Iggy Azalea,1990-06-07,0.0,,0.0,0.0
Imogen Poots,1989-06-03,0.0,0.0,0.0,0.0
Ireland Baldwin,1995-10-23,0.0,1.0,1.0,0.0
Irina Shayk,1986-01-06,0.0,0.0,0.0,0.0
Isabel Lucas,1985-01-29,0.0,0.0,0.0,0.0
Isabeli Fontana,1983-07-04,0.0,0.0,0.0,0.0
Isla Fisher,1976-02-03,0.0,0.0,0.0,0.0
Ivanka Trump,1981-10-30,1.0,1.0,0.0,0.0
Izabel Goulart,1984-10-23,0.0,0.0,0.0,0.0
Izabella Miko,1981-01-21,0.0,0.0,0.0,0.0
Izabella Scorupco,1970-06-04,0.0,0.0,0.0,0.0
JWoww,1986-02-27,0.0,1.0,0.0,0.0
Jacqueline MacInnes Wood,1987-04-17,0.0,0.0,0.0,0.0
Jaime King,1979-04-23,0.0,1.0,0.0,0.0
Jaime Pressly,1977-07-30,0.0,1.0,0.0,0.0
Jaimie Alexander,1984-03-12,0.0,1.0,0.0,0.0
Jamie Chung,1983-04-10,1.0,1.0,0.0,0.0
Jamie Gunns,1985-11-30,0.0,0.0,0.0,0.0
Jamie-Lynn Sigler,1981-05-15,0.0,1.0,0.0,0.0
Janet Jackson,1966-05-16,0.0,1.0,0.0,0.0
Janina Gavankar,1980-11-29,0.0,1.0,0.0,0.0
January Jones,1978-01-05,0.0,1.0,0.0,0.0
Jennie Finch,1980-09-03,0.0,1.0,0.0,0.0
Jennifer Aniston,1969-02-11,0.0,1.0,0.0,0.0
Jennifer Gareis,1970-08-01,0.0,,0.0,0.0
Jennifer Garner,1972-04-17,1.0,1.0,0.0,0.0
Jennifer Lawrence,1990-08-15,0.0,1.0,0.0,0.0
Jennifer Lopez,1969-07-24,0.0,1.0,0.0,0.0
Jennifer Love Hewitt,1979-02-21,0.0,1.0,0.0,0.0
Jennifer Morrison,1979-04-12,1.0,1.0,0.0,0.0
Jennifer O'Dell,1974-11-27,0.0,1.0,0.0,0.0
Jennifer Sky,1976-10-13,0.0,1.0,0.0,0.0
Jenny McCarthy,1972-11-01,0.0,1.0,0.0,0.0
Jessica Alba,1981-04-28,0.0,1.0,0.0,0.0
Jessica Biel,1982-03-03,1.0,1.0,0.0,0.0
Jessica Cauffiel,1976-03-30,1.0,1.0,0.0,0.0
Jessica Chastain,1977-03-24,1.0,1.0,0.0,0.0
Jessica Gomes,1985-09-25,1.0,0.0,0.0,0.0
Jessica Parker Kennedy,1984-10-03,0.0,0.0,0.0,0.0
Jessica Rafalowski,1986-03-16,0.0,,0.0,0.0
Jessica Simpson,1980-07-10,0.0,1.0,0.0,0.0
Jessica White,1984-06-21,1.0,1.0,0.0,0.0
Jill Arrington,1972-07-27,0.0,1.0,0.0,0.0
Jill Wagner,1979-01-13,0.0,1.0,0.0,0.0
Joan Smalls,1988-07-11,1.0,0.0,0.0,0.0
Joanna Krupa,1979-04-23,0.0,0.0,0.0,0.0
Jodi Lyn O'Keefe,1978-10-10,0.0,1.0,0.0,0.0
Jolene Blalock,1975-03-05,0.0,1.0,0.0,0.0
Jordana Brewster,1980-04-26,0.0,0.0,0.0,0.0
Josephine Skriver,1993-04-14,0.0,0.0,0.0,0.0
Josie Maran,1978-05-08,0.0,1.0,0.0,0.0
Joss Stone,1987-04-11,0.0,,0.0,0.0
Jourdan Dunn,1990-08-03,0.0,0.0,0.0,0.0
Jules Asner,1968-02-14,0.0,1.0,0.0,0.0
Julia Stiles,1981-03-28,1.0,1.0,0.0,0.0
Julianne Hough,1988-07-20,0.0,1.0,0.0,0.0
Julie Benz,1972-05-01,1.0,1.0,0.0,0.0
Julie Berry,1980-12-15,0.0,1.0,0.0,0.0
Kaley Cuoco,1985-11-30,0.0,1.0,0.0,0.0
Kamala Harris,1964-10-20,0.0,,0.0,0.0
Kara DioGuardi,1970-12-09,0.0,,0.0,0.0
Karlie Kloss,1992-08-03,0.0,1.0,0.0,0.0
Karmen Pedaru,1990-05-10,0.0,0.0,0.0,0.0
Karolína Kurková,1984-02-28,0.0,0.0,0.0,0.0
Kasey Chambers,1976-06-04,0.0,,0.0,0.0
Kat Dennings,1986-06-13,0.0,1.0,0.0,0.0
Kat Von D,1982-03-08,0.0,0.0,0.0,0.0
Kate Beckinsale,1973-07-26,1.0,0.0,0.0,0.0
Kate Bosworth,1983-01-02,0.0,1.0,0.0,0.0
Kate Grigorieva,1989-09-15,0.0,0.0,0.0,0.0
Kate Groombridge,1980-07-08,0.0,0.0,0.0,0.0
Kate Hudson,1979-04-19,0.0,1.0,0.0,0.0
Kate Mara,1983-02-27,0.0,1.0,0.0,0.0
Kate Moss,1974-01-16,0.0,0.0,0.0,0.0
Kate Upton,1992-06-10,0.0,1.0,0.0,0.0
Katharine McPhee,1984-03-25,0.0,1.0,0.0,0.0
Katherine Heigl,1978-11-24,0.0,1.0,0.0,0.0
Katie Cassidy,1986-11-25,0.0,1.0,0.0,0.0
Katie Holmes,1978-12-18,1.0,1.0,0.0,0.0
Katrina Bowden,1988-09-19,0.0,1.0,0.0,0.0
Katy Perry,1984-10-25,0.0,1.0,0.0,0.0
Kaya Scodelario,1992-03-13,0.0,0.0,0.0,0.0
Keeley Hazell,1986-09-18,0.0,0.0,0.0,0.0
Keira Knightley,1985-03-26,0.0,0.0,0.0,0.0
Kelis,1979-08-21,0.0,,0.0,0.0
Kellie Pickler,1986-06-28,0.0,,0.0,0.0
Kelly Brook,1979-11-23,0.0,0.0,0.0,0.0
Kelly Carlson,1976-02-17,0.0,1.0,0.0,0.0
Kelly Clarkson,1982-04-24,0.0,,0.0,0.0
Kelly Hu,1968-02-13,0.0,1.0,0.0,0.0
Kelly Kelly,1987-01-15,0.0,,0.0,0.0
Kelly Monaco,1976-05-23,0.0,1.0,0.0,0.0
Kelly Ripa,1970-10-02,0.0,1.0,0.0,0.0
Kelly Rowland,1982-02-09,0.0,1.0,0.0,0.0
Kenda Perez,1983-05-18,0.0,1.0,0.0,0.0
Kendall Jenner,1995-11-03,0.0,1.0,0.0,0.0
Kerry Washington,1977-01-31,1.0,1.0,0.0,0.0
Kim Kardashian,1980-10-21,0.0,1.0,0.0,0.0
Kirby Bliss Blanton,1990-10-24,0.0,1.0,0.0,0.0
Kirsten Dunst,1982-04-30,0.0,1.0,0.0,0.0
Krista Allen,1971-04-05,0.0,1.0,0.0,0.0
Kristanna Loken,1979-10-08,0.0,1.0,1.0,0.0
Kristen Bell,1980-07-18,1.0,1.0,0.0,0.0
Kristen Stewart,1990-04-09,0.0,,1.0,0.0
Kristin Cavallari,1987-01-05,0.0,1.0,0.0,0.0
Kristin Kreuk,1982-12-30,0.0,0.0,0.0,0.0
Kristy Swanson,1969-12-19,0.0,1.0,0.0,0.0
Kylie Bax,1975-01-05,0.0,0.0,0.0,0.0
Kylie Bisutti,1990-03-31,0.0,1.0,0.0,0.0
Kylie Minogue,1968-05-28,0.0,0.0,0.0,0.0
La La Anthony,1979-06-25,0.0,1.0,0.0,0.0
Lacey Chabert,1982-09-30,0.0,0.0,0.0,0.0
Laetitia Casta,1978-05-11,0.0,0.0,0.0,0.0
Lais Ribeiro,1990-10-05,0.0,0.0,0.0,0.0
Lake Bell,1979-03-24,0.0,1.0,0.0,0.0
Lana Del Rey,1985-06-21,0.0,,0.0,0.0
Lara Stone,1983-12-20,0.0,0.0,0.0,0.0
Larissa Meek,1978-08-29,0.0,,0.0,0.0
Laura Harring,1964-03-03,0.0,0.0,0.0,0.0
Laura Prepon,1980-03-07,0.0,1.0,0.0,0.0
Laura Vandervoort,1984-09-22,0.0,0.0,0.0,0.0
Lauren Bush,1984-06-25,1.0,1.0,0.0,0.0
Lauren Cohan,1982-01-07,1.0,1.0,0.0,0.0
Lauren Conrad,1986-02-01,1.0,1.0,0.0,0.0
Lauren German,1978-11-29,1.0,1.0,0.0,0.0
Lauren Storm,1987-01-02,0.0,1.0,0.0,0.0
Layla El,1977-06-25,0.0,,0.0,0.0
LeAnn Rimes,1982-08-28,0.0,,0.0,0.0
Lea Michele,1986-08-29,0.0,1.0,0.0,0.0
Lee Newton,1985-04-13,0.0,1.0,0.0,0.0
Leeann Tweeden,1973-06-13,0.0,0.0,0.0,0.0
Leighton Meester,1986-04-09,0.0,1.0,0.0,0.0
Leila Arcieri,1973-12-18,0.0,1.0,0.0,0.0
Lena Headey,1973-10-03,0.0,0.0,0.0,0.0
Leonor Varela,1972-12-29,0.0,0.0,0.0,0.0
Leslie Bibb,1974-11-17,0.0,1.0,0.0,0.0
Leven Rambin,1990-05-17,0.0,1.0,0.0,0.0
Lil' Kim,1974-07-11,0.0,1.0,0.0,0.0
Lili Simmons,1993-07-23,0.0,1.0,0.0,0.0
Lily Aldridge,1985-11-15,0.0,1.0,0.0,0.0
Lily Allen,1985-05-02,0.0,0.0,0.0,0.0
Lily Collins,1989-03-18,1.0,0.0,0.0,0.0
Lily Donaldson,1987-01-27,0.0,0.0,0.0,0.0
Lily James,1989-04-05,1.0,0.0,0.0,0.0
Lindsay Ellingson,1984-11-19,0.0,1.0,0.0,0.0
Lindsay Lohan,1986-07-02,0.0,1.0,0.0,0.0
Lindsay Price,1976-12-06,0.0,1.0,0.0,0.0
Lindsey Vonn,1984-10-18,0.0,,0.0,0.0
Lindsey Wixson,1994-04-11,0.0,1.0,0.0,0.0
Lisalla Montenegro,1988-09-05,0.0,0.0,0.0,0.0
Liu Wen,1988-01-27,0.0,0.0,0.0,0.0
Liv Tyler,1977-07-01,0.0,1.0,0.0,0.0
Liya Kebede,1978-03-01,0.0,0.0,0.0,0.0
Liz Phair,1967-04-17,0.0,,0.0,0.0
Lizzy Caplan,1982-06-30,0.0,1.0,0.0,0.0
Lori Heuring,1973-04-06,0.0,0.0,0.0,0.0
Lorri Bagley,1973-08-05,0.0,0.0,0.0,0.0
Lucy Hale,1989-06-14,0.0,1.0,0.0,0.0
Lucy Liu,1968-12-02,1.0,1.0,0.0,0.0
Lupita Nyong'o,1983-03-01,1.0,0.0,0.0,0.0
Lydia Hearst,1984-09-19,1.0,1.0,0.0,0.0
Lyndsy Fonseca,1987-01-07,0.0,1.0,0.0,0.0
Léa Seydoux,1985-07-01,0.0,0.0,0.0,0.0
Magdalena Frackowiak,1984-10-06,0.0,0.0,0.0,0.0
Maggie Grace,1983-09-21,0.0,1.0,0.0,0.0
Maggie Gyllenhaal,1977-11-16,1.0,1.0,0.0,0.0
Majandra Delfino,1981-02-20,0.0,0.0,0.0,0.0
Malia Jones,1977-03-27,0.0,1.0,0.0,0.0
Mandy Moore,1984-04-10,0.0,1.0,0.0,0.0
Margot Robbie,1990-07-02,1.0,0.0,0.0,0.0
Maria Bello,1967-04-18,0.0,1.0,1.0,0.0
Maria Menounos,1978-06-08,0.0,1.0,0.0,0.0
Maria Sharapova,1987-04-19,0.0,,0.0,0.0
Mariah Carey,1969-03-27,0.0,1.0,0.0,0.0
Mariah O'Brien,1971-06-25,0.0,1.0,0.0,0.0
Marisa Coughlan,1974-03-17,1.0,0.0,0.0,0.0
Marisa Miller,1978-08-06,0.0,1.0,0.0,0.0
Marisa Tomei,1964-12-04,1.0,1.0,0.0,0.0
Marla Sokoloff,1980-12-19,0.0,1.0,0.0,0.0
Marley Shelton,1974-04-12,0.0,1.0,0.0,0.0
Martha Hunt,1989-04-27,0.0,1.0,0.0,0.0
Mary Elizabeth Winstead,1984-11-28,0.0,1.0,0.0,0.0
Megan Fox,1986-05-16,0.0,1.0,1.0,0.0
Melanie Iglesias,1987-06-18,0.0,1.0,0.0,0.0
Melissa George,1976-08-06,0.0,0.0,0.0,0.0
Melissa Howard,1977-02-12,0.0,,0.0,0.0
Melissa Joan Hart,1976-04-18,0.0,1.0,0.0,0.0
Melissa Rauch,1980-06-23,0.0,1.0,0.0,0.0
Melissa Rycroft,1983-03-11,0.0,1.0,0.0,0.0
Melissa Sagemiller,1974-06-01,0.0,1.0,0.0,0.0
Mena Suvari,1979-02-13,0.0,1.0,0.0,0.0
Mia Kirshner,1975-01-25,0.0,0.0,0.0,0.0
Michael Michele,1966-08-30,0.0,1.0,0.0,0.0
Michele Merkin,1975-06-25,0.0,1.0,0.0,0.0
Michelle Branch,1983-07-02,0.0,1.0,0.0,0.0
Michelle Dockery,1981-12-15,0.0,0.0,0.0,0.0
Michelle Obama,1964-01-17,0.0,,0.0,0.0
Michelle Rodriguez,1978-07-12,0.0,1.0,1.0,0.0
Michelle Trachtenberg,1985-10-11,0.0,1.0,0.0,0.0
Miesha Tate,1986-08-18,0.0,,0.0,0.0
Mila Kunis,1983-08-14,0.0,0.0,0.0,0.0
Miley Cyrus,1992-11-23,0.0,1.0,1.0,0.0
Milla Jovovich,1975-12-17,0.0,0.0,0.0,0.0
Ming Xi,1989-03-08,0.0,0.0,0.0,0.0
Minka Kelly,1980-06-24,0.0,1.0,0.0,0.0
Miranda Kerr,1983-04-20,0.0,0.0,0.0,0.0
Mischa Barton,1986-01-24,0.0,0.0,0.0,0.0
Missi Pyle,1972-11-16,0.0,1.0,0.0,0.0
Missy Peregrym,1982-06-16,0.0,0.0,0.0,0.0
Molly Sims,1973-05-25,0.0,1.0,0.0,0.0
Monet Mazur,1976-04-17,0.0,1.0,0.0,0.0
Monica Bellucci,1964-09-30,0.0,0.0,0.0,0.0
Monica Keena,1979-05-28,0.0,1.0,0.0,0.0
Monica Potter,1971-06-30,0.0,1.0,0.0,0.0
Moon Bloodgood,1975-09-20,0.0,1.0,0.0,0.0
Morena Baccarin,1979-06-02,1.0,0.0,0.0,0.0
Mía Maestro,1978-06-19,0.0,0.0,0.0,0.0
Nadia G,1980-05-12,0.0,0.0,0.0,0.0
Nadine Velazquez,1978-11-20,0.0,1.0,0.0,0.0
Naomi Watts,1968-09-28,0.0,0.0,0.0,0.0
Natalie Dormer,1982-02-11,1.0,0.0,0.0,0.0
Natalie Imbruglia,1975-02-04,0.0,0.0,0.0,0.0
Natalie Martinez,1984-07-12,0.0,0.0,0.0,0.0
Natalie Morales,1972-06-06,1.0,0.0,0.0,0.0
